title,url,time,channelName,channelUrl,videoId
Namık Ekin paraşütle boğazdan atlayışı ve öncesinde yaşananlar  ￼🪂🪂🪂,https://www.youtube.com/watch?v=TvoYdP5VWgI,2024-12-03T18:58:00.373Z,sat.ayısı,https://www.youtube.com/channel/UCwE26sP09oMx-wduiEVHZbQ,TvoYdP5VWgI
Boupendza'nın Bar Kavgası 🥊 😲 #süperlig #türkiye #futbol #hatay #boupendza #kavga,https://www.youtube.com/watch?v=2JnWtjEqBXM,2024-12-03T18:57:12.827Z,No Fax Machine,https://www.youtube.com/channel/UCDEGoXletUkkTe2C3fAsW-w,2JnWtjEqBXM
Akıl en büyük silahtır.. 🧠,https://www.youtube.com/watch?v=5aF7VfVObDA,2024-12-03T18:57:07.538Z,Digital Gelişim,https://www.youtube.com/channel/UCBQQ0CBfNSZMsn9dICFQ5Ew,5aF7VfVObDA
Sizce de teklifler çok düşük değil mi? #konsoloyun #shorts,https://www.youtube.com/watch?v=heAvkxFOMdY,2024-12-03T18:56:04.581Z,AYBVRS,https://www.youtube.com/channel/UCiQxifu3jMAFRSX-Wb8nDkg,heAvkxFOMdY
Halil Altıntop ve Hamit Altıntop benzerliği | Nihat Kahveci,https://www.youtube.com/watch?v=c26o8drZvu8,2024-12-03T18:55:27.860Z,GolNet Medya,https://www.youtube.com/channel/UCmGCOYaIITu_DcYgLIyprvg,c26o8drZvu8
Nihat Kahveci🗣️#fenerbahçe #football,https://www.youtube.com/watch?v=wLM5RatW0HU,2024-12-03T18:54:56.219Z,90+Football,https://www.youtube.com/channel/UCsTFzcjnjoxJ7PhZGlHyWNA,wLM5RatW0HU
EMEKLİ PAŞADAN TARİHİ KONUŞMA - Savunma Sanayi #shorts,https://www.youtube.com/watch?v=SdG3w_XtXNI,2024-12-03T18:54:34.386Z,Resul Demir,https://www.youtube.com/channel/UCJ8B3sn0yTrNm2I3aBjhnDA,SdG3w_XtXNI
"""Mesut'un Sihirli Dokunuşları: Real Madrid'i Taşıyan Asistler""",https://www.youtube.com/watch?v=nOhkNcHRVQo,2024-12-03T18:53:36.248Z,Asist-V,https://www.youtube.com/channel/UC6R4pKXg7ZGZ8H2s7UQwNyw,nOhkNcHRVQo
"💥 Galatasaray-Eyüpspor maçı ertelenmedi; Serdar Ali Çelikler, Galatasaray'ı haklı buldu.",https://www.youtube.com/watch?v=fuIFoSIFFQ8,2024-12-03T18:52:42.178Z,343 Digital,https://www.youtube.com/channel/UCV1O-37iLics-xzEKk7C87w,fuIFoSIFFQ8
Batuhan Karadeniz'in Manuel Fernandes anısı,https://www.youtube.com/watch?v=vkRBkMsTDsk,2024-12-03T18:51:45.866Z,Modernfutbolizm ,https://www.youtube.com/channel/UC0bkNzYXFhwCoPycdSVtmew,vkRBkMsTDsk
Almanya’daki PS5 kampanyası hakkında ne düşünüyorsunuz? #konsoloyun #shorts,https://www.youtube.com/watch?v=4lffH9Nq0B8,2024-12-03T18:50:39.996Z,AYBVRS,https://www.youtube.com/channel/UCiQxifu3jMAFRSX-Wb8nDkg,4lffH9Nq0B8
"Ümit Özat, Azrail Geliyor Diye Bağırdı 😅 | Hasan Şaş",https://www.youtube.com/watch?v=7xUdbpymMT0,2024-12-03T18:49:39.716Z,GolNet Medya,https://www.youtube.com/channel/UCmGCOYaIITu_DcYgLIyprvg,7xUdbpymMT0
THE MOST HUMILIATING GOALS IN FOOTBALL HISTORY!,https://www.youtube.com/watch?v=aIOx-isw1o0,2024-12-03T18:48:37.466Z,Daddy Footy,https://www.youtube.com/channel/UCKP0GJFykZYLzIwlZmtGK0w,aIOx-isw1o0
"LAKERS'IN ŞAMPİYON OLMASI ÇOK ZOR""",https://www.youtube.com/watch?v=T5gIcR-itEA,2024-12-03T18:48:15.415Z,NBA Digitale,https://www.youtube.com/channel/UCmmYPA9LPYT5mtdXOklFhyA,T5gIcR-itEA
Tank Davis got ROCKED😳🥊 #boxing #gervontatankdavis #tankdavis #gervontadavis #boxinglife,https://www.youtube.com/watch?v=VaIVi2YrCiw,2024-12-03T18:48:13.059Z,The Heart of Boxing!,https://www.youtube.com/channel/UCnZY7IazmG3Bm2BSquQnTHA,VaIVi2YrCiw
Konsol Oyun - PS5 Oyunu Geldi Beklenilen Teklifin Üstü Verildi #konsoloyun #shorts,https://www.youtube.com/watch?v=--VMFP_Fik0,2024-12-03T18:46:54.071Z,GLC Kesit,https://www.youtube.com/channel/UCCojreB0SJeXB7jn5Z1gxFQ,--VMFP_Fik0
"Drake, NBA Oyuncusuna Sataştı ve Bunlar Oldu..",https://www.youtube.com/watch?v=ic1ZnP5l4ag,2024-12-03T18:45:54.284Z,Arda Alpur,https://www.youtube.com/channel/UC26fjD6Q7jE0CA37UizX_mA,ic1ZnP5l4ag
Khamzat Chimaev YANLIŞLARIM OLDU. #khamzatchimaev #motivation #trending #ufc #islam,https://www.youtube.com/watch?v=j6bIbaM8O0k,2024-12-03T18:45:51.076Z,HA TV,https://www.youtube.com/channel/UCDMH75eFGXAiI7rS73Alncw,j6bIbaM8O0k
"Serdar Ali Çelikler, altyapı kültürünü anlatıyor",https://www.youtube.com/watch?v=vNjAOMpnpsM,2024-12-03T18:44:52.129Z,GolNet Medya,https://www.youtube.com/channel/UCmGCOYaIITu_DcYgLIyprvg,vNjAOMpnpsM
Sultan Abdülhamid'in Torunu ve Mezarı,https://www.youtube.com/watch?v=HHuoGmSNLsI,2024-12-03T18:44:50.361Z,Asırlık Hatırlayış,https://www.youtube.com/channel/UC2Szx2pogc3GBfdJPGZAzAQ,HHuoGmSNLsI
Ümit Karan ve Semih Şentürk Hangi Efsanelerin Formalarını Aldı? | #shorts,https://www.youtube.com/watch?v=zk3tvtdYiPc,2024-12-03T18:43:48.356Z,SkySpor,https://www.youtube.com/channel/UCEwn14riGehA3FFTu7e-Azg,zk3tvtdYiPc
MAURO İCARDİ #gs #football #gsedit #shorst #edit #gsedits #futbol #icardi #galatasary,https://www.youtube.com/watch?v=cDkcXekC3ys,2024-12-03T18:43:46.960Z,Yunusum,https://www.youtube.com/channel/UCPL55EtdLmWBsoBwF8OTgdg,cDkcXekC3ys
He refused Magnus' draw😳 #chess #echess #schach #ajedrez #magnuscarlsen #шахматы,https://www.youtube.com/watch?v=y7uPvb3_ycc,2024-12-03T18:43:45.239Z,TheCheckmateCorner,https://www.youtube.com/channel/UCNAlgpseNh7xKg4qsBI0teg,y7uPvb3_ycc
Biker stands up for woman and then protects his daughter 👊 @Undisclosed_Moto,https://www.youtube.com/watch?v=XIdKUJSnV-g,2024-12-03T18:43:43.413Z,MasFace,https://www.youtube.com/channel/UC8JAMmKAkp_qcsykOw9MbmA,XIdKUJSnV-g
"Öyle Bir Futbolcu Hiç Görmedim | Sergen Yalçın, Candaş Tolga Işık, Çağıl Özge Özkul #shorts",https://www.youtube.com/watch?v=XwDLDLeVy14,2024-12-03T18:42:42.087Z,KAFA Sports,https://www.youtube.com/channel/UCuRJ7zpj8K51YTnUio20rTg,XwDLDLeVy14
Allan Saint-Maximin 🤠🕺🎩 #shorts #edit #football #fenerbahçe #allansaintmaximin,https://www.youtube.com/watch?v=IHsKbvYU10k,2024-12-03T18:42:41.011Z,Efe Emiroğlu ,https://www.youtube.com/channel/UC3XVduzvWuL9yYP2A3AhjKg,IHsKbvYU10k
Neuer's Nightmare 😈,https://www.youtube.com/watch?v=Urcpb-r5P6s,2024-12-03T18:41:41.549Z,Foot Mood,https://www.youtube.com/channel/UCuYUOEXwUKBtiE1pNoB40PA,Urcpb-r5P6s
"Mario Gomez ilk maçta yedek kaldı, herkese bağırdı | Olcay Şahan",https://www.youtube.com/watch?v=RJ6cV2RKrXI,2024-12-03T18:40:30.868Z,GolNet Medya,https://www.youtube.com/channel/UCmGCOYaIITu_DcYgLIyprvg,RJ6cV2RKrXI
Jose Mourinho'nun Çalıştırdığı Takımlar #shorts,https://www.youtube.com/watch?v=mTrzYpF0qMI,2024-12-03T18:39:31.150Z,Mackolik,https://www.youtube.com/channel/UC-fnKq0uZNonkbLI5p_gjnw,mTrzYpF0qMI
Hagi'nın azmiyle dolu bir hikaye! Koşmaya hazır mısınız? #galatasaray #hagi #EfsaneFutbolcu,https://www.youtube.com/watch?v=6dHW9sTwXPE,2024-12-03T18:39:28.866Z,Zona Mista Spor,https://www.youtube.com/channel/UCDX-CfbfxGcKNx1qIhm3_tg,6dHW9sTwXPE
Barış Alper Yılmaz 💛❤️ #galatasaray #gs #youtubeshorts,https://www.youtube.com/watch?v=HVCcuq44ewo,2024-12-03T18:39:26.068Z,Mrs.BunnyLover,https://www.youtube.com/channel/UC1crZKa6AW4MI83kya8x2-w,HVCcuq44ewo
Das ist Kunst #kunst #diy,https://www.youtube.com/watch?v=yzPWSmHDnHE,2024-12-03T18:38:21.147Z,American Supps,https://www.youtube.com/channel/UCGRQYvg5EqfkT8SwaqQfEXQ,yzPWSmHDnHE
Birbirlerine Silah Çeken Oyuncular,https://www.youtube.com/watch?v=Yg1CH5uM-M0,2024-12-03T18:37:26.752Z,Arda Alpur,https://www.youtube.com/channel/UC26fjD6Q7jE0CA37UizX_mA,Yg1CH5uM-M0
Tümer Metin’den Mourinho açıklaması❗️,https://www.youtube.com/watch?v=r0EB6bGomMk,2024-12-03T18:36:55.873Z,Rafine TV - Spor,https://www.youtube.com/channel/UCfQz_pGu-f1O5VAlkWN3Ynw,r0EB6bGomMk
"Hayat ikinci bir şans verdiğinde, bazen mucizeler de yanında gelir.",https://www.youtube.com/watch?v=-MNYa7kvazg,2024-12-03T18:36:51.953Z,Başarı Okulu,https://www.youtube.com/channel/UC8AFynseisUGjNtCwMkECyw,-MNYa7kvazg
Konsol Oyun - Kararlı Müşteri Hızlı Ticaret #konsoloyun #shorts,https://www.youtube.com/watch?v=p_Uw0V-3k6g,2024-12-03T18:34:46.314Z,GLC Kesit,https://www.youtube.com/channel/UCCojreB0SJeXB7jn5Z1gxFQ,p_Uw0V-3k6g
Bu nasıl Arsenal? 360 dakika gol sesi çıkmayan seri,https://www.youtube.com/watch?v=rjP6jd_yeLI,2024-12-03T18:33:43.308Z,Takım Otobüsü,https://www.youtube.com/channel/UCEk-S7eA5qxJARmStdMEoIQ,rjP6jd_yeLI
Acun Ilıcalı: Aziz Yıldırım bıraktığı Fenerbahçe #fenerbahcebeko #acun #azizyıldırım #besiktas#türk,https://www.youtube.com/watch?v=d_vSx_KiR8c,2024-12-03T18:33:04.004Z,Football,https://www.youtube.com/channel/UCC5pHEzbbOKkPWWR_f-PEWw,d_vSx_KiR8c
"Alt Liglerin Çılgın Dünyası, Hocayla İnatlaşmak, Garanti Oyun Ne? | Hatıra Defteri #3",https://www.youtube.com/watch?v=-VLri1hcHEQ,2024-12-03T18:12:27.845Z,Socrates Dergi,https://www.youtube.com/channel/UCvgwLFmnppZoPVBQJwPaNsA,-VLri1hcHEQ
"Hepimiz aynıyız, ırkçılık yapmayın - ALFA 101 // lyric video (Türkçe Çeviri) @alfa101",https://www.youtube.com/watch?v=cf-vDL_N548,2024-12-03T18:12:07.097Z,SKZ IS THE BEST. ,https://www.youtube.com/channel/UCrhKgaNi3eF7i2H8zTukGWA,cf-vDL_N548
Hepimiz aynıyız ırkçılık yapmayın,https://www.youtube.com/watch?v=73S9kP9zE2Q,2024-12-03T18:11:53.100Z,Erdener Ulukan,https://www.youtube.com/channel/UCJ3Z7LP1VTGvn9JpnVDxXiQ,73S9kP9zE2Q
Hepimiz Aynıyız Irkçılık yapmayın #shorts #keşfetbeniöneçıkar #viral #keşfet ​⁠@Alfa101saplar,https://www.youtube.com/watch?v=FrHtqayk--E,2024-12-03T18:11:34.904Z,TK The KEREM,https://www.youtube.com/channel/UCu9nH28aF1ipp7dKEDwKfqw,FrHtqayk--E
Eray | Mertcan bahar izliyor. #erayizliyor #mertcanbahar,https://www.youtube.com/watch?v=kMzcu1ilzq4,2024-12-03T18:10:46.323Z,Karabelaa31,https://www.youtube.com/channel/UCWZB_cYRXdNsSt1S1mFfi4w,kMzcu1ilzq4
Nihat Kahveci 40 metreden attığı frikiği anlatıyor,https://www.youtube.com/watch?v=m-i3bor_TGU,2024-12-03T18:10:23.549Z,Maç Ötesi Futbol,https://www.youtube.com/channel/UCQDo5_Q7lBXGegP9_HIxjYg,m-i3bor_TGU
Burak Yılmaz Galatasaray'a Transfer Sürecini Anlatıyor.,https://www.youtube.com/watch?v=vllrZbo0MsI,2024-12-03T18:10:15.647Z,FUTBOL EDİT ,https://www.youtube.com/channel/UCllTL1kdfAZp1N9exVXnKZA,vllrZbo0MsI
BEST stand and bang moments 🚨 #ufc,https://www.youtube.com/watch?v=ae2dOu4GpSQ,2024-12-03T18:10:14.666Z,UFC,https://www.youtube.com/channel/UCvgfXK4nTYKudb0rFR6noLA,ae2dOu4GpSQ
"Ümit Özat, Daum ile yaşadığı anıyı anlatıyor",https://www.youtube.com/watch?v=Gsyi7JcG8E4,2024-12-03T18:09:15.058Z,GolNet Medya,https://www.youtube.com/channel/UCmGCOYaIITu_DcYgLIyprvg,Gsyi7JcG8E4
EBO ÇAKMA AYAKKABIYI BİLİYOR!😂 #ibrahimtilaver #komedi #viralvideo,https://www.youtube.com/watch?v=le_m4Mlu934,2024-12-03T18:09:13.053Z,Anka Editing,https://www.youtube.com/channel/UCq_kbgf0C5Dn8CDYmINs_EA,le_m4Mlu934
"Bilginin sahibi bedavaya sadece istediğini verir,  ihtiyacınız olanı değil.",https://www.youtube.com/watch?v=eyKDPR7Y-a4,2024-12-03T18:09:11.382Z,kenan başarık,https://www.youtube.com/channel/UC-oaH_mQ-lRFI4jjoNZarNQ,eyKDPR7Y-a4
"Uğraştığım Konuya Bak | Sergen Yalçın, Candaş Tolga Işık, Ceyla Büyükuzun #shorts",https://www.youtube.com/watch?v=01zGllNAqcg,2024-12-03T18:08:10.441Z,KAFA Sports,https://www.youtube.com/channel/UCuRJ7zpj8K51YTnUio20rTg,01zGllNAqcg
#standup #standupcomedy #komedi #comedy #talkshow #shorts #short #shortvideo,https://www.youtube.com/watch?v=qGrH44y4lTM,2024-12-03T18:08:08.304Z,konusanlarmat,https://www.youtube.com/channel/UCV_MEQeQ3A2HXwoFh4rCpvA,qGrH44y4lTM
Ebo Show | Berkcan Güven ve Ebo Altın Çocukla İngilizce Konuşuyor #eboshow #berkcan,https://www.youtube.com/watch?v=Nty49ljBS8E,2024-12-03T18:07:46.800Z,REG,https://www.youtube.com/channel/UCE9cnEl3MdG7JDWJBASqFkA,Nty49ljBS8E
Serhat Akın 6-0'lık Fenerbahçe Galatasaray maçını anlatıyor,https://www.youtube.com/watch?v=qI9gJ2XMRiE,2024-12-03T18:07:27.632Z,Maç Ötesi Futbol,https://www.youtube.com/channel/UCQDo5_Q7lBXGegP9_HIxjYg,qI9gJ2XMRiE
Pep Guardiola önümde diz çöktü | Bahattin Duran,https://www.youtube.com/watch?v=37joEzaiSow,2024-12-03T18:06:37.013Z,GolNet Medya,https://www.youtube.com/channel/UCmGCOYaIITu_DcYgLIyprvg,37joEzaiSow
DER KLASSIKER'DE KAZANAN YOK! Bundesliga 12. Hafta Özet | Borussia Dortmund 1-1 Bayern Münih,https://www.youtube.com/watch?v=av1aeKRLQ4s,2024-12-03T17:57:50.652Z,Tivibu Spor,https://www.youtube.com/channel/UCzzylIZKbeIDhohxAaQFy1Q,av1aeKRLQ4s
iddaa.com | Liverpool (2-0) Manchester City | 13. Hafta MAÇ ÖZETİ | Premier League - 2024/25,https://www.youtube.com/watch?v=AmXNLIgU5ps,2024-12-03T17:55:41.176Z,beIN SPORTS Türkiye,https://www.youtube.com/channel/UCPe9vNjHF1kEExT5kHwc7aw,AmXNLIgU5ps
"Dune Prophecy, ERŞAN KUNERİ 2, MEGALOPOLİS - YATAY BAKIŞ",https://www.youtube.com/watch?v=0_NSy9ByS9Q,2024-12-03T17:55:07.253Z,Can Sungur ve Yakın Evren,https://www.youtube.com/channel/UC6q0eGHt5euC8aYLDjhaHpA,0_NSy9ByS9Q
Taraftar Sergen Yalçını İstiyor! Sergen Hoca Çok Akıllı! #beşiktaş,https://www.youtube.com/watch?v=l02kq-D8JwE,2024-12-03T16:44:18.669Z,Express Futbol,https://www.youtube.com/channel/UCvkKvD-XP1xk3numOSC4wig,l02kq-D8JwE
Pala İskender büyük ile Abdullah Öcalan’nı Polat Alemdar’a anlatıyor Gladio￼ #kurtlarvadisi,https://www.youtube.com/watch?v=Bj0uAHC2ROE,2024-12-03T16:44:10.146Z,Racon torunu,https://www.youtube.com/channel/UCr2IGxatG-_ulIPkqn8qVpg,Bj0uAHC2ROE
Clint gets knocked out by George 💀 | Young Sheldon,https://www.youtube.com/watch?v=9YIYi4iPtuo,2024-12-03T16:44:08.942Z,Roberteditt,https://www.youtube.com/channel/UCYBiFd7Wknzi-c3OroH7SwQ,9YIYi4iPtuo
Hamileliği duyunca hassaslaşıp cezayı kesen semt abisi,https://www.youtube.com/watch?v=MIlqY0bDZno,2024-12-03T16:44:07.338Z,Emre Mutlu,https://www.youtube.com/channel/UCX53cCN4IW5tUf2JruvKuAw,MIlqY0bDZno
Burak Yılmaz son milli maçında kaçırdığı penaltıyı anlatıyor,https://www.youtube.com/watch?v=9sbNFZAVkgs,2024-12-03T16:44:02.748Z,Maç Ötesi Futbol,https://www.youtube.com/channel/UCQDo5_Q7lBXGegP9_HIxjYg,9sbNFZAVkgs
Konsol Oyun - PlayStation 4 Slim Ticareti ve Gürcistan PS5 Fiyatı #konsoloyun,https://www.youtube.com/watch?v=0JsJ7w0xslU,2024-12-03T16:43:59.677Z,GLC Oyun,https://www.youtube.com/channel/UC-3edRl6YCV6Dtdp9HO-ODw,0JsJ7w0xslU
"🤯 ""Bu insanların aynı takımı tuttuğuna inanamıyorum!"" | Mehmet Demirkol | #shorts #karşıkarşıya",https://www.youtube.com/watch?v=AbV7mP1l5a4,2024-12-03T16:43:15.784Z,Socrates Dergi,https://www.youtube.com/channel/UCvgwLFmnppZoPVBQJwPaNsA,AbV7mP1l5a4
Neden Yalnızız?,https://www.youtube.com/watch?v=zNLRDQkt404,2024-12-03T16:05:33.268Z,49W,https://www.youtube.com/channel/UC5_0UPuXT5SAGsbTe2T_PJg,zNLRDQkt404
John Terry'e kırmızı kart gösteren Cüneyt Çakır'ın Bahattin Duran ile olan efsane diyaloğu,https://www.youtube.com/watch?v=UYqXZ-T2ORA,2024-12-03T14:24:46.103Z,Express Futbol,https://www.youtube.com/channel/UCvkKvD-XP1xk3numOSC4wig,UYqXZ-T2ORA
